# ----------------------------------------
# OTexts.org
# Location
# 20120101-20220531
# ----------------------------------------

Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
United States,"1,432,130","1,412,783","2,948,874",57.33%,3.58,00:05:15,0,$0.00,0.00%
India,"736,944","720,615","1,401,157",62.40%,2.88,00:04:30,0,$0.00,0.00%
United Kingdom,"297,613","289,238","627,813",55.93%,3.51,00:04:58,0,$0.00,0.00%
South Korea,"227,151","224,414","423,915",61.48%,3.42,00:04:23,0,$0.00,0.00%
Canada,"193,816","190,096","400,521",56.71%,3.76,00:05:48,0,$0.00,0.00%
China,"158,749","151,380","336,306",51.94%,4.09,00:06:32,0,$0.00,0.00%
Germany,"157,111","152,315","358,062",54.93%,3.68,00:05:25,0,$0.00,0.00%
Australia,"156,760","153,625","414,791",49.11%,3.95,00:06:43,0,$0.00,0.00%
Philippines,"119,658","118,792","183,171",66.83%,2.51,00:03:32,0,$0.00,0.00%
Brazil,"94,346","92,802","237,351",54.56%,3.80,00:05:32,0,$0.00,0.00%
Netherlands,"93,504","90,369","220,835",54.82%,3.88,00:05:55,0,$0.00,0.00%
Singapore,"90,065","86,907","197,161",57.88%,3.25,00:04:42,0,$0.00,0.00%
Malaysia,"85,363","84,053","201,582",61.27%,2.77,00:04:31,0,$0.00,0.00%
France,"80,404","78,298","179,943",55.17%,3.82,00:05:41,0,$0.00,0.00%
Italy,"74,976","73,362","171,732",53.41%,4.09,00:06:11,0,$0.00,0.00%
Indonesia,"70,204","69,034","133,951",61.96%,2.86,00:04:10,0,$0.00,0.00%
Spain,"68,566","66,765","162,959",53.33%,4.37,00:06:21,0,$0.00,0.00%
Hong Kong,"66,087","62,812","143,262",54.60%,3.98,00:05:46,0,$0.00,0.00%
Turkey,"63,747","62,788","130,021",58.37%,3.40,00:04:54,0,$0.00,0.00%
South Africa,"58,367","57,969","131,565",55.05%,3.57,00:06:19,0,$0.00,0.00%
Russia,"52,799","51,676","133,975",56.94%,3.25,00:04:35,0,$0.00,0.00%
Pakistan,"49,477","49,337","76,006",68.54%,2.47,00:03:10,0,$0.00,0.00%
Thailand,"47,723","47,442","88,007",60.82%,2.91,00:03:38,0,$0.00,0.00%
Mexico,"46,951","45,968","114,090",54.05%,4.02,00:05:58,0,$0.00,0.00%
Japan,"45,430","43,231","85,223",62.06%,3.32,00:04:11,0,$0.00,0.00%
Kenya,"42,974","42,413","61,198",70.30%,2.12,00:02:58,0,$0.00,0.00%
Taiwan,"40,845","39,909","73,994",60.76%,3.40,00:03:53,0,$0.00,0.00%
Poland,"39,020","37,991","87,796",57.61%,3.55,00:04:57,0,$0.00,0.00%
Switzerland,"38,716","37,430","87,960",51.94%,3.98,00:06:02,0,$0.00,0.00%
Denmark,"38,202","37,219","98,580",52.28%,3.89,00:05:59,0,$0.00,0.00%
Sweden,"35,184","34,482","79,047",57.80%,3.63,00:04:48,0,$0.00,0.00%
Vietnam,"32,868","32,330","77,479",55.62%,3.39,00:05:08,0,$0.00,0.00%
Nigeria,"32,821","32,564","52,519",67.39%,2.31,00:03:16,0,$0.00,0.00%
Ireland,"30,224","29,195","63,841",59.25%,3.28,00:04:41,0,$0.00,0.00%
New Zealand,"29,523","29,148","58,765",58.56%,3.24,00:04:35,0,$0.00,0.00%
Colombia,"29,195","28,797","64,753",54.26%,3.92,00:05:34,0,$0.00,0.00%
Portugal,"26,809","26,294","82,603",46.62%,4.33,00:06:30,0,$0.00,0.00%
Belgium,"26,598","25,663","57,595",52.68%,4.17,00:05:46,0,$0.00,0.00%
Greece,"22,972","22,130","48,635",55.60%,3.45,00:04:34,0,$0.00,0.00%
Norway,"22,785","22,154","68,356",47.37%,4.88,00:08:28,0,$0.00,0.00%
(not set),"22,505","19,463","44,027",56.32%,3.28,00:05:14,0,$0.00,0.00%
Bangladesh,"21,639","21,545","33,546",68.06%,2.47,00:02:41,0,$0.00,0.00%
Sri Lanka,"21,499","21,312","42,646",64.51%,2.78,00:03:35,0,$0.00,0.00%
Austria,"20,072","19,674","42,670",56.19%,3.50,00:05:09,0,$0.00,0.00%
Finland,"19,814","19,627","41,383",54.89%,3.39,00:04:58,0,$0.00,0.00%
Ukraine,"16,984","16,282","44,167",52.49%,4.12,00:06:19,0,$0.00,0.00%
United Arab Emirates,"16,282","15,487","26,879",62.06%,3.14,00:03:59,0,$0.00,0.00%
Saudi Arabia,"16,071","16,001","26,060",63.28%,3.00,00:03:43,0,$0.00,0.00%
Israel,"15,931","15,557","31,464",60.97%,3.03,00:04:29,0,$0.00,0.00%
Chile,"15,416","15,042","36,424",55.11%,3.99,00:06:29,0,$0.00,0.00%
Egypt,"15,182","14,808","25,850",62.26%,2.96,00:03:53,0,$0.00,0.00%
Czechia,"14,621","14,036","34,529",57.32%,3.15,00:04:34,0,$0.00,0.00%
Ethiopia,"14,364","14,364","19,089",65.69%,2.91,00:02:55,0,$0.00,0.00%
Romania,"13,872","13,451","35,277",57.56%,3.84,00:05:16,0,$0.00,0.00%
Argentina,"12,001","11,697","32,447",60.13%,3.63,00:04:39,0,$0.00,0.00%
Peru,"11,767","11,533","29,125",56.47%,3.91,00:04:54,0,$0.00,0.00%
Iran,"11,627","10,667","19,557",67.46%,2.52,00:03:07,0,$0.00,0.00%
Ghana,"11,299","11,182","20,235",66.36%,2.62,00:04:08,0,$0.00,0.00%
Lithuania,"10,363","10,012","24,844",51.98%,3.88,00:05:50,0,$0.00,0.00%
Hungary,"9,638","9,311","20,727",59.48%,3.42,00:04:24,0,$0.00,0.00%
Ecuador,"8,468","8,235","18,902",57.55%,3.41,00:04:49,0,$0.00,0.00%
Morocco,"7,650","7,369","16,890",64.27%,2.73,00:03:16,0,$0.00,0.00%
Tanzania,"7,533","7,486","9,802",66.11%,2.32,00:02:32,0,$0.00,0.00%
Bulgaria,"6,761","6,574","13,264",65.96%,3.04,00:04:08,0,$0.00,0.00%
Nepal,"6,457","6,386","9,240",66.84%,2.64,00:02:32,0,$0.00,0.00%
Zimbabwe,"6,223","6,176","7,743",77.95%,1.85,00:02:05,0,$0.00,0.00%
Mauritius,"6,199","6,082","13,989",67.90%,2.62,00:03:43,0,$0.00,0.00%
Tunisia,"5,825","5,685","20,399",55.39%,3.40,00:03:51,0,$0.00,0.00%
Slovakia,"5,708","5,474","15,837",61.89%,2.66,00:04:17,0,$0.00,0.00%
Croatia,"5,193","5,147","10,855",60.99%,4.11,00:04:27,0,$0.00,0.00%
